iter	Passed	Remaining
431	1705	2242
432	1708	2237
433	1712	2233
434	1715	2228
435	1718	2223
436	1722	2219
437	1726	2214
438	1728	2209
439	1732	2204
440	1735	2199
441	1739	2195
442	1742	2191
443	1745	2185
444	1748	2181
445	1755	2180
446	1763	2181
447	1767	2177
448	1770	2173
449	1775	2170
450	1779	2166
451	1785	2165
452	1790	2162
453	1796	2160
454	1801	2157
455	1804	2152
456	1808	2148
457	1810	2143
458	1815	2139
459	1818	2134
460	1821	2129
461	1824	2124
462	1828	2120
463	1831	2115
464	1834	2110
465	1837	2105
466	1841	2101
467	1846	2098
468	1849	2093
469	1853	2089
470	1856	2085
471	1859	2080
472	1862	2075
473	1865	2069
474	1868	2064
475	1870	2059
476	1873	2053
477	1876	2049
478	1879	2043
479	1881	2038
480	1884	2033
481	1887	2028
482	1889	2022
483	1893	2018
484	1895	2013
485	1898	2007
486	1900	2002
487	1903	1996
488	1906	1991
489	1908	1986
490	1911	1981
491	1913	1976
492	1916	1970
493	1919	1965
494	1921	1960
495	1924	1955
496	1927	1950
497	1929	1945
498	1932	1940
499	1935	1935
500	1937	1929
501	1939	1924
502	1942	1919
503	1945	1914
504	1948	1909
505	1951	1905
506	1954	1900
507	1957	1895
508	1960	1890
509	1963	1886
510	1966	1882
511	1969	1877
512	1971	1872
513	1974	1867
514	1977	1862
515	1981	1858
516	1984	1853
517	1987	1849
518	1990	1844
519	1993	1839
520	1995	1834
521	1998	1829
522	2000	1824
523	2003	1820
524	2006	1815
525	2009	1810
526	2012	1805
527	2014	1801
528	2017	1796
529	2020	1791
530	2023	1786
531	2025	1781
532	2028	1776
533	2030	1771
534	2033	1767
535	2035	1762
536	2038	1757
537	2040	1752
538	2042	1747
539	2045	1742
540	2048	1738
541	2051	1733
542	2054	1729
543	2057	1724
544	2060	1720
545	2062	1715
546	2065	1710
547	2068	1706
548	2070	1701
549	2073	1696
550	2076	1692
551	2080	1688
552	2084	1684
553	2087	1680
554	2090	1675
555	2092	1671
556	2096	1667
557	2099	1662
558	2102	1658
559	2105	1654
560	2108	1649
561	2111	1645
562	2115	1642
563	2120	1639
564	2123	1635
565	2128	1632
566	2134	1629
567	2136	1625
568	2140	1621
569	2142	1616
570	2146	1612
571	2150	1608
572	2153	1604
573	2158	1601
574	2162	1598
575	2165	1594
576	2168	1589
577	2171	1585
578	2176	1582
579	2181	1579
580	2187	1577
581	2194	1576
582	2200	1574
583	2203	1569
584	2208	1566
585	2212	1563
586	2216	1559
587	2222	1557
588	2225	1553
589	2229	1549
590	2232	1545
591	2235	1540
592	2239	1536
593	2242	1532
594	2245	1528
595	2248	1523
596	2251	1519
597	2253	1515
598	2256	1510
599	2259	1506
600	2262	1502
601	2265	1497
602	2268	1493
603	2270	1488
604	2272	1483
605	2275	1479
606	2278	1474
607	2280	1470
608	2283	1466
609	2285	1461
610	2287	1456
611	2290	1452
612	2293	1447
613	2296	1443
614	2299	1439
615	2302	1435
616	2304	1430
617	2307	1426
618	2309	1421
619	2312	1417
620	2315	1412
621	2317	1408
622	2319	1403
623	2322	1399
624	2324	1394
625	2327	1390
626	2330	1386
627	2332	1381
628	2334	1377
629	2337	1373
630	2340	1368
631	2343	1364
632	2347	1360
633	2351	1357
634	2354	1353
635	2357	1349
636	2361	1345
637	2367	1343
638	2370	1339
639	2373	1334
640	2375	1330
641	2378	1326
642	2381	1322
643	2384	1318
644	2387	1314
645	2390	1310
646	2394	1306
647	2397	1302
648	2400	1298
649	2403	1293
650	2405	1289
651	2409	1285
652	2412	1281
653	2415	1277
654	2420	1274
655	2423	1271
656	2427	1267
657	2430	1263
658	2434	1259
659	2438	1256
660	2453	1258
661	2456	1254
662	2460	1250
663	2464	1247
664	2469	1243
665	2472	1239
666	2479	1237
667	2487	1236
668	2496	1235
669	2502	1232
670	2505	1228
671	2521	1230
672	2528	1228
673	2536	1226
674	2539	1222
675	2554	1224
676	2576	1229
677	2581	1226
678	2584	1221
679	2586	1217
680	2596	1216
681	2599	1212
682	2602	1207
683	2609	1205
684	2613	1202
685	2617	1198
686	2620	1193
687	2624	1190
688	2630	1187
689	2632	1182
690	2637	1179
691	2640	1175
692	2645	1171
693	2649	1168
694	2653	1164
695	2659	1161
696	2662	1157
697	2665	1153
698	2673	1151
699	2677	1147
700	2680	1143
701	2684	1139
702	2692	1137
703	2695	1133
704	2697	1128
705	2707	1127
706	2710	1123
707	2713	1119
708	2719	1116
709	2725	1113
710	2727	1108
711	2730	1104
712	2742	1104
713	2746	1100
714	2757	1098
715	2760	1094
716	2763	1090
717	2771	1088
718	2788	1089
719	2792	1085
720	2795	1081
721	2802	1079
722	2807	1075
723	2809	1071
724	2813	1067
725	2821	1064
726	2823	1060
727	2826	1056
728	2830	1052
729	2834	1048
730	2839	1044
731	2843	1041
732	2851	1038
733	2854	1034
734	2859	1031
735	2869	1029
736	2872	1025
737	2876	1021
738	2879	1017
739	2885	1013
740	2889	1009
741	2891	1005
742	2894	1001
743	2899	997
744	2902	993
745	2905	989
746	2908	984
747	2911	980
748	2913	976
749	2916	972
750	2919	968
751	2922	963
752	2925	959
753	2928	955
754	2931	951
755	2934	947
756	2937	942
757	2940	938
758	2943	934
759	2946	930
760	2948	926
761	2959	924
762	2971	923
763	2976	919
764	2980	915
765	2983	911
766	2987	907
767	2990	903
768	2993	899
769	2996	894
770	2999	890
771	3002	886
772	3005	882
773	3009	878
774	3012	874
775	3014	870
776	3018	866
777	3021	862
778	3024	858
779	3027	853
780	3029	849
781	3033	845
782	3035	841
783	3038	837
784	3041	833
785	3045	829
786	3048	825
787	3051	820
788	3054	816
789	3058	813
790	3062	809
791	3065	805
792	3068	801
793	3071	796
794	3074	792
795	3078	788
796	3080	784
797	3083	780
798	3086	776
799	3089	772
800	3091	768
801	3095	764
802	3098	760
803	3100	755
804	3103	751
805	3106	747
806	3109	743
807	3112	739
808	3114	735
809	3117	731
810	3120	727
811	3123	723
812	3126	719
813	3129	714
814	3131	710
815	3134	706
816	3137	702
817	3141	698
818	3143	694
819	3146	690
820	3149	686
821	3152	682
822	3170	681
823	3173	677
824	3176	673
825	3180	669
826	3183	665
827	3187	662
828	3190	658
829	3193	654
830	3195	649
831	3198	645
832	3201	641
833	3204	637
834	3207	633
835	3210	629
836	3212	625
837	3216	621
838	3218	617
839	3221	613
840	3224	609
841	3227	605
842	3230	601
843	3233	597
844	3236	593
845	3238	589
846	3241	585
847	3245	581
848	3247	577
849	3253	574
850	3256	570
851	3259	566
852	3262	562
853	3265	558
854	3267	554
855	3270	550
856	3273	546
857	3276	542
858	3278	538
859	3281	534
860	3284	530
861	3287	526
862	3291	522
863	3296	518
864	3298	514
865	3301	510
866	3303	506
867	3306	502
868	3309	498
869	3312	494
870	3315	490
871	3317	487
872	3320	483
873	3323	479
874	3326	475
875	3329	471
876	3333	467
877	3336	463
878	3339	459
879	3341	455
880	3345	451
881	3354	448
882	3362	445
883	3367	441
884	3373	438
885	3378	434
886	3383	431
887	3386	427
888	3391	423
889	3394	419
890	3399	415
891	3402	411
892	3406	408
893	3409	404
894	3414	400
895	3416	396
896	3419	392
897	3423	388
898	3426	384
899	3430	381
900	3433	377
901	3437	373
902	3440	369
903	3443	365
904	3450	362
905	3453	358
906	3456	354
907	3459	350
908	3462	346
909	3465	342
910	3469	338
911	3472	335
912	3475	331
913	3479	327
914	3483	323
915	3486	319
916	3489	315
917	3492	311
918	3497	308
919	3500	304
920	3503	300
921	3506	296
922	3511	292
923	3514	289
924	3518	285
925	3520	281
926	3523	277
927	3528	273
928	3531	269
929	3535	266
930	3558	263
931	3561	259
932	3565	256
933	3568	252
934	3574	248
935	3576	244
936	3580	240
937	3583	236
938	3586	232
939	3590	229
940	3593	225
941	3598	221
942	3601	217
943	3604	213
944	3606	209
945	3609	206
946	3612	202
947	3615	198
948	3618	194
949	3621	190
950	3624	186
951	3627	182
952	3630	179
953	3633	175
954	3636	171
955	3639	167
956	3642	163
957	3645	159
958	3647	155
959	3650	152
960	3653	148
961	3656	144
962	3659	140
963	3662	136
964	3664	132
965	3667	129
966	3670	125
967	3673	121
968	3676	117
969	3679	113
970	3681	109
971	3684	106
972	3686	102
973	3689	98
974	3692	94
975	3694	90
976	3697	87
977	3699	83
978	3702	79
979	3705	75
980	3707	71
981	3711	68
982	3713	64
983	3716	60
984	3719	56
985	3722	52
986	3724	49
987	3728	45
988	3730	41
989	3733	37
990	3735	33
991	3738	30
992	3740	26
993	3743	22
994	3745	18
995	3748	15
996	3752	11
997	3755	7
998	3757	3
999	3761	0
