,index,gridSearch,accu_std,accu_mod,acc_test,acc_train,overfitting %,recall,overfitting_balanced,f1,precission,balanced_accucracy,ROC,balance_method
0,0,SVC,0.7931726907630522,0.946673878789304,0.8865461847389559,0.9776927138331574,10.28108074494051,0.0588235294117647,97.5056076419953,0.0504201680672269,0.0441176470588235,0.4950202303143479,0.4950202303143479,ros
1,1,LogisticRegression,0.7700803212851406,0.7778512055481084,0.7700803212851406,0.7779831045406547,1.0262284383953093,0.8431372549019608,3.312585971101092,0.273015873015873,0.1628787878787878,0.8046374105197635,0.8046374105197636,ros
2,2,DecissionTree,0.9216867469879518,0.7993668487988942,0.7329317269076305,0.8062302006335798,10.000723264526773,0.6666666666666666,14.91516434370029,0.2035928143712574,0.1201413427561837,0.7015873015873015,0.7015873015873015,ros
3,3,KNN,0.8614457831325302,0.9659454544029225,0.9166666666666666,1.0,9.090909090909095,0.0784313725490196,92.2455573505654,0.0879120879120879,0.1,0.5201680672268908,0.5201680672268907,ros
4,4,GradientBoosting,0.8242971887550201,0.99445617720917,0.9437751004016064,1.0,5.9574468085106425,0.0196078431372549,97.3829708809436,0.0344827586206896,0.1428571428571428,0.5066293183940243,0.5066293183940243,ros
5,5,RandomForest,0.9417670682730924,0.9904963560489064,0.9417670682730924,1.0,6.183368869936028,0.0392156862745098,94.23286180631119,0.064516129032258,0.1818181818181818,0.5148459383753502,0.5148459383753502,ros
6,6,AdaBoost,0.7700803212851406,0.8136217659770728,0.7650602409638554,0.8175818373812038,6.8650275632124735,0.803921568627451,4.357637196321629,0.2594936708860759,0.1547169811320754,0.7834422657952069,0.7834422657952069,ros
7,7,XGB,0.931726907630522,0.9802008419369254,0.92570281124498,1.0,8.026030368763562,0.0196078431372549,101.16453794139746,0.0263157894736842,0.04,0.4971055088702147,0.4971055088702147,ros
8,8,CatBoost,0.9196787148594378,0.9082625839781128,0.857429718875502,0.9400739176346355,9.6385974196835,0.5098039215686274,35.65335028114992,0.268041237113402,0.1818181818181818,0.6929971988795518,0.6929971988795518,ros
9,9,LGBM,0.9156626506024096,0.8393636608316414,0.7720883534136547,0.8484688489968321,9.892714382424534,0.7058823529411765,14.538482073308746,0.2408026755852843,0.1451612903225806,0.7407718643012761,0.7407718643012762,ros
10,0,SVC,0.6586345381526104,0.7948717948717948,0.7349397590361446,0.8179487179487179,11.294661622530468,0.8627450980392157,2.83570319178395,0.25,0.1461794019933555,0.7953937130407719,0.7953937130407719,rus
11,1,LogisticRegression,0.7309236947791165,0.7794871794871795,0.7389558232931727,0.8,8.260869565217401,0.8627450980392157,0.31220730565096044,0.2528735632183908,0.1481481481481481,0.797510115157174,0.797510115157174,rus
12,2,DecissionTree,0.6837349397590361,0.782051282051282,0.6957831325301205,0.7923076923076923,13.872793872793869,0.8823529411764706,1.0553219556434952,0.2290076335877862,0.131578947368421,0.7840336134453781,0.7840336134453781,rus
13,3,KNN,0.6877510040160643,0.6846153846153845,0.6104417670682731,0.7153846153846154,17.1912955465587,0.6470588235294118,13.957896342626135,0.145374449339207,0.0818858560794044,0.6277622159975101,0.62776221599751,rus
14,4,GradientBoosting,0.7269076305220884,0.7948717948717948,0.6967871485943775,0.8025641025641026,15.180669474617606,0.8627450980392157,3.518203995923784,0.2256410256410256,0.1297935103244837,0.7752878929349518,0.7752878929349518,rus
15,5,RandomForest,0.7259036144578314,0.7769230769230769,0.7058232931726908,1.0,41.67852062588905,0.803921568627451,32.93888865902602,0.2186666666666666,0.1265432098765432,0.7522253345782758,0.7522253345782758,rus
16,6,AdaBoost,0.7128514056224899,0.7846153846153846,0.6957831325301205,0.7923076923076923,13.872793872793869,0.8823529411764706,1.0553219556434952,0.2290076335877862,0.131578947368421,0.7840336134453781,0.7840336134453781,rus
17,7,XGB,0.7098393574297188,0.7974358974358974,0.7088353413654619,0.8025641025641026,13.22292438439747,0.8823529411764706,1.4732591507343729,0.2368421052631578,0.1367781155015197,0.790911920323685,0.790911920323685,rus
18,8,CatBoost,0.7178714859437751,0.7923076923076923,0.679718875502008,0.8,17.69571639586411,0.8823529411764706,3.150206669609533,0.2200488997555012,0.1256983240223463,0.7755680049797697,0.7755680049797696,rus
19,9,LGBM,0.7088353413654619,0.7461538461538462,0.7098393574297188,0.7923076923076923,11.617887063431622,0.8823529411764706,0.10950550098766194,0.237467018469657,0.1371951219512195,0.7914410208527856,0.7914410208527856,rus
20,0,SVC,0.8594377510040161,0.917986798679868,0.9006024096385542,0.9694719471947196,7.647052330651133,0.0784313725490196,89.46009162074292,0.0747663551401869,0.0714285714285714,0.5117024587612823,0.5117024587612823,smote
21,1,LogisticRegression,0.8313253012048193,0.7760726072607261,0.8323293172690763,0.779042904290429,6.402082910341707,0.7254901960784313,0.3517316977129517,0.3070539419087136,0.1947368421052631,0.7817927170868347,0.7817927170868348,smote
22,2,DecissionTree,0.8755020080321285,0.8003300330033003,0.8303212851405622,0.8211221122112211,1.1079052282495494,0.6862745098039216,7.732669628594617,0.2928870292887029,0.1861702127659574,0.7621848739495798,0.7621848739495799,smote
23,3,KNN,0.8524096385542169,0.9156765676567656,0.8855421686746988,1.0,12.925170068027208,0.0784313725490196,98.5048807611516,0.0655737704918032,0.056338028169014,0.5037659508247744,0.5037659508247744,smote
24,4,GradientBoosting,0.8995983935742972,0.9503300330033004,0.931726907630522,1.0,7.327586206896547,0.0392156862745098,96.24969460053751,0.0555555555555555,0.0952380952380952,0.5095549330843449,0.5095549330843449,smote
